codmpio,municipio,depto,porc_cd,decil
5040,Anorí,Antioquia,67.943611,Decil 10 IICA
5055,Argelia,Antioquia,94.323669,Decil 10 IICA
5107,Briceño,Antioquia,64.181221,Decil 10 IICA
5134,Campamento,Antioquia,83.123032,Decil 10 IICA
5197,Cocorná,Antioquia,89.768761,Decil 10 IICA
5234,Dabeiba,Antioquia,70.935272,Decil 10 IICA
5313,Granada,Antioquia,89.160042,Decil 10 IICA
5361,Ituango,Antioquia,62.117592,Decil 10 IICA
5483,Nariño,Antioquia,94.247246,Decil 10 IICA
5604,Remedios,Antioquia,54.637249,Decil 10 IICA
5647,San Andrés de Cuerquía,Antioquia,83.000488,Decil 10 IICA
5649,San Carlos,Antioquia,83.54483,Decil 10 IICA
5652,San Francisco,Antioquia,86.350471,Decil 10 IICA
5660,San Luis,Antioquia,86.536552,Decil 10 IICA
5667,San Rafael,Antioquia,82.560417,Decil 10 IICA
5790,Tarazá,Antioquia,50.886459,Decil 10 IICA
5854,Valdivia,Antioquia,69.863945,Decil 10 IICA
5895,Zaragoza,Antioquia,61.553749,Decil 10 IICA
8137,Campo de La Cruz,Atlántico,70.81134,Decil 1 IICA
8141,Candelaria,Atlántico,72.865387,Decil 1 IICA
8520,Palmar de Varela,Atlántico,33.262169,Decil 1 IICA
8606,Repelón,Atlántico,62.257282,Decil 1 IICA
8675,Santa Lucía,Atlántico,72.334885,Decil 1 IICA
8770,Suan,Atlántico,68.232712,Decil 1 IICA
13062,Arroyohondo,Bolívar,82.23938,Decil 1 IICA
13160,Cantagallo,Bolívar,46.294601,Decil 10 IICA
13188,Cicuco,Bolívar,55.284737,Decil 1 IICA
13300,Hatillo de Loba,Bolívar,81.505424,Decil 1 IICA
13440,Margarita,Bolívar,75.784317,Decil 1 IICA
13620,San Cristóbal,Bolívar,43.207546,Decil 1 IICA
13650,San Fernando,Bolívar,66.445854,Decil 1 IICA
13670,San Pablo,Bolívar,59.107983,Decil 10 IICA
13760,Soplaviento,Bolívar,28.626148,Decil 1 IICA
13780,Talaigua Nuevo,Bolívar,66.091583,Decil 1 IICA
15001,Tunja,Boyacá,35.835747,Decil 1 IICA
15092,Betéitiva,Boyacá,50.104603,Decil 1 IICA
15097,Boavita,Boyacá,77.469742,Decil 1 IICA
15104,Boyacá,Boyacá,61.320316,Decil 1 IICA
15114,Busbanzá,Boyacá,58.857143,Decil 1 IICA
